host_id,host_about,user_id
5228189,"Artist, Designer, Gallerist, Contractor... I have a passion for making spaces come alive.  I love to travel and I love travelers... Come stay at one my places and I will use that as an excuse to get out of town and see some other part of the world.   A passionate lover of food, art, and music, I love to see, taste, and experience new things. I've tried to make my home an exciting destination to come home to every evening and I am excited about the opportunity to share it with you. 

",5228189
2880338,I work from home and love to travel regularly!,2880338
12681444,I am a school social worker and my husband is a teacher.  We enjoy meeting new people from other places.  We are excited about showing people our city so they can love it as much as we do!,12681444
2915265,"Greetings! I am fully vaccinated and welcome those that are too.  I am a stained glass artist, card maker and writer. I have done quite a bit of international travel and hope to do a lot more. I love meeting new people. I am obsessed with postcards. I'm really in love with Chicago and although I've lived here my whole life I continue to discover new treasure!

Some things that I love: Writing, reading, bicycling, coffee, trying different types of food, yoga, movies, old cemeteries, art museums, photography, vintage postcards, pen pals, architecture, antique markets, folk art, tiles, decorative metal, craft beer, and of course,  traveling!!!

I believe good things can come from seemingly bad things: the symbolic opening of a new door. 

I strive to be present, recognize beauty, project love, and be extremely grateful for my life.  Each person I meet reinforces my belief in a world full of love and kindness and every new friend makes it a better place.  Traveling has been my most valuable education. 

Places I have traveled: Austria, Belgium, Canada, Cost Rica, Czech Republic, Denmark, England, Estonia, Finland, France, Germany, Ireland, Israel, Italy, Kenya, Mexico, Monaco, Morocco, Netherlands, Peru, Poland, Portugal, Scotland, Spain, Sweden, Switzerland, Thailand, Turkey, Wales",2915265
2768314,"Hi, I'm Jason! After spending 6 years in Prague and using Airbnb extensively, I have re-patriated back to Chicago and now host fellow travelers along their journeys. 

I have a passion for architecture, design, travel & cooking- 60 countries & counting. I am pleased and  very excited to be able to turn the tables and act as a host within the community. 

I'm pretty laid back, so looking to host the same type of travelers in the space.

Ciao 

Jason",2768314
3200044,I’m a Chicago based Luxury Travel Advisor spending half of my time working remotely and traveling throughout the world. I “retired” from my 15 year corporate career to travel the world and never stopped.,3200044
2824576,"I am a professional violinist, business owner, and lover of all things creative.  I've traveled to Europe, Middle East, Russia, Mexico, and  to 49 states and love meeting people from different cultures. 

Originally from Taiwan, I grew up in Seattle and moved to Chicago in 1995 and have been here ever since.  I know the ins and outs of Chicago and can point you to some of the best things to see around the city and some of the out of the way places only locals know.  I am very easy going and love to entertain so you'll be sure to have a pleasant and fun stay while you are in town.",2824576
2824576,"I am a professional violinist, business owner, and lover of all things creative.  I've traveled to Europe, Middle East, Russia, Mexico, and  to 49 states and love meeting people from different cultures. 

Originally from Taiwan, I grew up in Seattle and moved to Chicago in 1995 and have been here ever since.  I know the ins and outs of Chicago and can point you to some of the best things to see around the city and some of the out of the way places only locals know.  I am very easy going and love to entertain so you'll be sure to have a pleasant and fun stay while you are in town.",2824576
12877384,"I am a host who loves sharing my house and make it available for long and short-term rentals. My house is very sharable. I provide a clean, neat and nice unit, and will try to accommodate any special requests by guest. I'm very sociable, well mannered, and an assuring AirBnB Host. I love praising God and have a thankful attitude toward life.  Great sense of humor too.  Life is short so get busy living.  I live close to downtown, Hot United Center, Grant Park, Union Park. In Chicago the summer time rocks with all the outdoor festivals like North Coast Music, PitchFork ,Lalapooloza, Jazz festival,  Gospel festiva just to name a fewl.  Close to Bucktown, Wicker Park, Logan Square and Humboldt Park for Cinco de mio, largest hospital conglomerate in the US including UIC hospital, Rush Hospital, Stroeger Hospital, and Veterans Hospital. Top Travel Destinations now. Includes spots I have yet to visit.
Buenes Aires, Rio, Prague, Bora, Bora, Malta, Maaorca, Sardina, Sicily, South Africa, Egypt, Kaui, Alaska, Hong Kong. Morocco, Shang Hi.  Favorite travel destinations are Barcelona, Rome, Capri, ibiza",12877384
3382417,"As a host I work hard to provide a clean and comfortable home base for your adventures. I take pride in offering a personal touch because I self-manage. I am always available to help with any recommendations or questions during your stay!

I have hosted off and on since joining this community in 2012. I love that hosting gives me a creative outlet for decorating and renovating plus a chance to connect with so many awesome travelers!

I'm a recent transplant to San Diego, Chicago is my adopted hometown of 10 years, I grew up in St Louis, and I have a special place in my heart for my alma matter hometowns - New York (Fordham), Shanghai (华师大) and Nanjing (南大).",3382417
7858620,"My life motto.......""to thine own self be true"".......and have fun doing it !!
I'm peaceful, energetic, fun-loving, active and love to be outdoors...in the summer, spring, and fall!!  I LOVE travel (usually to someplace warm), art, food, entertaining, meeting new people and lively conversation.  I'm an avid art collector, jewelry designer, and art festival ""junkie"", that likes to experiment in the kitchen. Jewelry design is a newly discovered passion, and I sell my work at venues around the country.

Travel is in my blood !! I'm a native Chicagoan who was raised around the world as my father was in the Air Force.  I've lived in Germany, Paris, California and Texas.  As an adult, I've traveled throughout the U.S., Canada, and the Caribbean both for work and play.  I love meeting and hosting other travelers. 

I spent many years in the corporate and non-profit arenas, and have been self-employed in some form for as long as I can remember.





",7858620
3574415,"For exercise I run Marathons, Ski, and Scuba. For business, I buy and sell Real Estate. For music, I totally enjoy Bruce Springsteen.
I value family and friends to the highest degree. As a Rotarian, community service is very important. I serve as a Board member of Arc of Hope, a Board member of Evanston Lighthouse Rotary, and a member of the Skokie Chamber of Commerce
",3574415
2658212,I'm an arts enthusiast and entrepreneur in the Chicagoland area.  I feel fortunate to be part of such an exciting and vibrant world class city!  ,2658212
2850286,"I'm originally from Texas, lived in New York for a while and currently reside in Chicago. I work for a school district and enjoy traveling in the summer. I also enjoy Photography, riding motorcycles and songwriting.",2850286
